Смирнова Анна id=0 ['Создание дизайн-проектов интерьеров', 'Подбор отделочных материалов', 'Визуализация проектов', 'Отдел архитектурного проектирования', 'Дизайнер интерьера']
Никитин Артем id=2 ['Помощь в создании макетов продуктов', 'Подготовка материалов для презентаций', 'Анализ трендов в дизайне', 'Студия промышленного дизайна', 'Ассистент дизайнера']
Сидоров Дмитрий id=0 ['Управление креативным процессом', 'Разработка концепций дизайна', 'Курирование работы дизайнеров', 'Студия веб-дизайна', 'Арт-директор']
Петрова Екатерина id=1 ['Создание концепций архитектурных решений', 'Разработка планировочных решений для интерьеров', 'Взаимодействие с заказчиками и поставщиками', 'Отдел интерьеров', 'Архитектор-дизайнер']
Сидорова Екатерина id=0 ['Управление творческим процессом', 'Разработка концепций проектов', 'Контроль за качеством дизайнерских решений', 'Отдел графического дизайна', 'Арт-директор']
Иванова Анна id=3 ['Разработка эскизов продуктов', 'Проработка дизайна упаковки', 'Взаимодействие с инженерами для создания функциональных продуктов', 'Студия промышленного дизайна', 'Дизайнер']
Никитина Ольга id=0 ['Создание трёхмерных визуализаций интерьеров', 'Работа с графическими программами', 'Воплощение идей дизайн-проектов в виртуальной среде', 'Отдел интерьеров', '3D-визуализатор']
Сидорова Елена id=1 ['Разработка дизайна промышленных изделий', 'Проведение анализа конкурентов', 'Подготовка презентаций дизайн-концепций', 'Студия промышленного дизайна', 'Ведущий дизайнер']
Иванова Анна id=1 ['Разработка дизайна веб-сайтов', 'Создание макетов и прототипов', 'Работа с графическими редакторами', 'Студия веб-дизайна', 'Веб-дизайнер']
Петров Алексей id=0 ['Управление процессом дизайна продуктов', 'Разработка концепций новых продуктов', 'Курирование работы дизайнеров', 'Студия промышленного дизайна', 'Главный дизайнер']
Козлов Дмитрий id=3 ['Поиск идей для дизайна новых продуктов', 'Разработка визуализаций концепций', 'Тестирование дизайн-прототипов', 'Студия промышленного дизайна', 'Дизайнер-концептуалист']
Козлова Ольга id=1 ['Создание дизайна веб-страниц', 'Оптимизация пользовательского интерфейса', 'Работа с адаптивным дизайном', 'Отдел графического дизайна', 'Веб-дизайнер']
Иванова Анна id=2 ['Разработка дизайн-проектов помещений', 'Подготовка чертежей и визуализаций', 'Подбор материалов и мебели для интерьера', 'Отдел интерьеров', 'Дизайнер интерьеров']
Сидоров Алексей id=0 ['Помощь клиентам в выборе стиля интерьера', 'Консультирование по декорированию помещений', 'Разработка цветовых схем и дизайн-концепций', 'Отдел интерьеров', 'Дизайнер-консультант']
Козлов Алексей id=0 ['Разработка технических заданий', 'Согласование проектов с заказчиками', 'Участие в проектировании инженерных систем', 'Отдел архитектурного проектирования', 'Проектировщик']
Попова Екатерина id=4 ['Согласование действий участников проекта', 'Поддержание коммуникации внутри проектной группы', 'Помощь в решении организационных вопросов', 'Отдел планирования', 'Координатор проектов']
Никитин Дмитрий id=1 ['Проектирование пользовательского интерфейса', 'Тестирование пользовательского опыта', 'Разработка дизайна мобильных приложений', 'Отдел графического дизайна', 'UX/UI дизайнер']
Иванова Мария id=0 ['Разработка макетов для веб-сайтов', 'Создание рекламных баннеров', 'Работа с корпоративным стилем', 'Отдел графического дизайна', 'Графический дизайнер']
Никитина Мария id=0 ['Создание иллюстраций для веб-сайтов', 'Разработка персонажей', 'Интеграция графики в дизайн', 'Студия веб-дизайна', 'Иллюстратор']
Никитин Дмитрий id=0 ['Консультирование клиентов по архитектурным вопросам', 'Анализ архитектурных проектов', 'Участие в презентациях проектов', 'Отдел архитектурного проектирования', 'Архитектурный консультант']
Попова Екатерина id=3 ['Разработка проектной документации', 'Проектирование инженерных коммуникаций', 'Координация проектных работ', 'Отдел ВКХ', 'Инженер-проектировщик']
Петров Игорь id=0 ['Разработка чертежей строительных элементов', 'Использование специализированного программного обеспечения для проектирования', 'Участие в согласовании проектной документации с заказчиком', 'Отдел строительных конструкций', 'Проектировщик конструкций']
Петрова Елена id=0 ['Создание концепций дизайна интерьеров и экстерьеров', 'Работа с цветовыми и текстурными решениями', 'Применение инновационных технологий в архитектурном дизайне', 'Лаборатория городской архитектуры', 'Архитектурный дизайнер']
Павлов Дмитрий id=0 ['Разработка ландшафтных проектов', 'Планирование озеленения территорий', 'Создание дизайн-концепций для благоустройства', 'Отдел зданий и сооружений', 'Ландшафтный дизайнер']
Иванов Петр id=0 ['Разработка архитектурных концепций', 'Проектирование зданий и сооружений', 'Координация проектных работ', 'Отдел архитектурного проектирования', 'Архитектор']
Козлов Алексей id=3 ['Создание рекламных баннеров', 'Разработка логотипов и фирменного стиля', 'Верстка презентаций', 'Студия веб-дизайна', 'Графический дизайнер']
Иванова Анна id=0 ['Разработка дизайн-проектов благоустройства территорий', 'Подготовка чертежей и эскизов', 'Взаимодействие с заказчиками и подрядчиками', 'Отдел ландшафтного дизайна', 'Ландшафтный архитектор']
Никитин Алексей id=0 ['Создание дизайн-проектов благоустройства городских пространств', 'Разработка концепций оформления городской среды', 'Использование современных технологий в градостроительном дизайне', 'Отдел градостроительства', 'Градостроительный дизайнер']
Сидорова Елена id=0 ['Проектирование архитектурных форм и элементов ландшафта', 'Разработка технической документации', 'Консультирование клиентов по вопросам благоустройства', 'Отдел ландшафтного дизайна', 'Архитектор-ландшафтник']
Петров Дмитрий id=0 ['Создание концепций ландшафтного дизайна', 'Подбор растений и материалов для озеленения', 'Участие в планировании и организации работ на объекте', 'Отдел ландшафтного дизайна', 'Ландшафтный дизайнер']
Петрова Екатерина id=0 ['Исследование пользовательских потребностей', 'Разработка пользовательских интерфейсов', 'Тестирование пользовательского опыта', 'Студия веб-дизайна', 'UX/UI дизайнер']
Петров Алексей id=1 ['Создание иллюстраций для презентаций', 'Разработка персонажей', 'Оформление книжных изданий', 'Отдел графического дизайна', 'Иллюстратор']
Иванов Петр id=10 ['Разработка технической документации', 'Проектирование инженерных систем', 'Участие в технических совещаниях', 'Отдел ВКХ', 'Инженер-конструктор']
Сидоров Алексей id=1 ['Координация работы инженеров-конструкторов', 'Утверждение проектной документации', 'Контроль за выполнением строительных работ', 'Отдел строительных конструкций', 'Технический руководитель']
Морозов Антон id=0 ['Разработка пользовательских интерфейсов', 'Тестирование и оптимизация UX/UI', 'Создание прототипов и макетов', 'Отдел разработки ПО', 'UX/UI дизайнер']
Смирнова Анна id=5 ['Разработка дизайн-проектов интерьеров исторических зданий', 'Подбор стилистических решений с учетом исторического наследия', 'Визуализация проектов', 'Группа исторического наследия', 'Дизайнер интерьера']
Смирнова Анна id=1 ['Проектирование архитектуры программных решений', 'Оценка технической реализуемости проектов', 'Участие в научно-исследовательских работах', 'Лаборатория инновационных решений', 'Архитектор']
Никитин Дмитрий id=3 ['Разработка планов проекта', 'Управление ресурсами проекта', 'Мониторинг выполнения этапов проекта', 'Отдел планирования', 'Планировщик проектов']
Иванов Петр id=2 ['Разработка архитектурных проектов зданий и сооружений', 'Проектирование градостроительных объектов', 'Работа с геодезическими данными', 'Отдел градостроительства', 'Архитектор']
Иванов Петр id=16 ['Планирование и контроль выполнения проектов', 'Взаимодействие с заказчиками', 'Управление ресурсами проекта', 'Отдел анализа проектов', 'Менеджер проектов']
Иванов Петр id=7 ['Разработка технических заданий на строительные конструкции', 'Проектирование строительных элементов', 'Контроль соблюдения технических норм и стандартов', 'Отдел строительных конструкций', 'Инженер-конструктор']
Попова Екатерина id=0 ['Проектирование ландшафтных композиций', 'Разработка садово-парковых проектов', 'Подбор растений и декоративных элементов', 'Отдел архитектурного проектирования', 'Ландшафтный архитектор']
